time,frequency,confidence
2.650,60.000,0.856
2.660,60.000,0.895
2.670,60.000,0.917
2.680,59.667,0.911
2.690,59.667,0.879
2.700,59.667,0.856
2.710,59.667,0.844
2.720,60.000,0.824
2.730,60.000,0.808
2.740,60.000,0.805
2.750,60.000,0.803
2.760,60.000,0.802
2.770,60.000,0.803
2.780,60.000,0.806
2.790,60.000,0.813
2.800,60.000,0.821
2.810,60.000,0.828
2.820,60.000,0.833
2.830,60.000,0.835
2.840,60.000,0.835
2.850,60.000,0.835
2.860,60.000,0.833
2.870,60.000,0.823
2.880,60.000,0.804
2.890,60.000,0.785
2.900,60.000,0.730
2.910,60.000,0.633
2.920,59.667,0.490
2.930,59.333,0.411
2.940,59.667,0.324
2.950,58.667,0.284
2.960,34.667,0.282
2.970,34.667,0.279
2.980,34.667,0.277
2.990,60.333,0.275
3.000,60.667,0.290
3.010,61.000,0.404
3.020,61.000,0.495
3.030,61.000,0.609
3.040,61.000,0.753
3.050,60.667,0.827
3.060,60.667,0.867
3.070,60.667,0.886
3.080,60.667,0.878
3.090,60.667,0.850
3.100,60.667,0.817
3.110,60.667,0.787
3.120,60.667,0.755
3.130,60.667,0.745
3.140,60.667,0.738
3.150,60.667,0.733
3.160,60.667,0.727
3.170,60.667,0.717
3.180,60.667,0.700
3.190,60.667,0.680
3.200,61.000,0.670
3.210,61.000,0.680
3.220,61.333,0.687
3.230,61.333,0.700
3.240,61.667,0.746
3.250,61.667,0.757
3.260,62.000,0.806
3.270,62.000,0.834
3.280,62.000,0.843
3.290,62.000,0.845
3.300,62.000,0.850
3.310,62.000,0.854
3.320,62.000,0.857
3.330,62.000,0.856
3.340,62.000,0.855
3.350,62.000,0.854
3.360,62.000,0.855
3.370,62.000,0.860
3.380,62.000,0.868
3.390,62.000,0.880
3.400,62.000,0.892
3.410,62.000,0.901
3.420,62.000,0.903
3.430,62.000,0.894
3.440,62.000,0.872
3.450,62.000,0.832
3.460,62.000,0.772
3.470,62.000,0.700
3.480,62.000,0.668
3.490,62.000,0.624
3.500,61.667,0.569
3.510,61.667,0.498
3.520,61.667,0.409
3.530,61.333,0.312
3.540,61.667,0.190
3.550,61.667,0.102
3.560,61.000,0.098
3.570,34.667,0.095
3.580,34.333,0.092
3.590,34.667,0.090
3.600,34.333,0.088
3.610,34.333,0.086
3.620,34.333,0.086
3.630,34.333,0.086
3.640,34.333,0.086
3.650,34.333,0.088
3.660,34.333,0.090
3.670,34.667,0.093
3.680,34.667,0.097
3.690,34.667,0.101
3.700,34.333,0.107
3.710,34.667,0.113
3.720,34.333,0.119
3.730,34.333,0.127
3.740,34.667,0.136
3.750,34.333,0.144
3.760,34.333,0.153
3.770,34.667,0.162
3.780,34.667,0.171
3.790,59.333,0.258
3.800,59.667,0.328
3.810,59.667,0.274
3.820,59.667,0.389
3.830,59.333,0.482
3.840,59.333,0.558
3.850,59.667,0.620
3.860,59.667,0.668
3.870,59.667,0.720
3.880,59.667,0.793
3.890,59.667,0.831
3.900,59.667,0.900
3.910,60.000,0.947
3.920,60.000,0.971
3.930,60.000,0.977
3.940,60.000,0.969
3.950,60.000,0.953
3.960,60.000,0.932
3.970,60.000,0.909
3.980,60.000,0.885
3.990,60.000,0.860
4.000,60.000,0.836
4.010,60.000,0.813
4.020,60.000,0.794
4.030,60.000,0.780
4.040,60.000,0.771
4.050,60.000,0.764
4.060,60.000,0.755
4.070,60.000,0.742
4.080,60.000,0.721
4.090,60.000,0.708
4.100,59.667,0.713
4.110,59.667,0.716
4.120,59.667,0.718
4.130,59.667,0.718
4.140,59.667,0.715
4.150,59.667,0.710
4.160,59.667,0.702
4.170,59.667,0.690
4.180,59.667,0.690
4.190,60.000,0.702
4.200,60.000,0.710
4.210,60.000,0.713
4.220,60.000,0.710
4.230,60.000,0.698
4.240,60.000,0.679
4.250,60.000,0.652
4.260,60.000,0.615
4.270,59.667,0.576
4.280,59.667,0.547
4.290,59.333,0.506
4.300,59.333,0.489
4.310,59.000,0.458
4.320,58.667,0.422
4.330,58.667,0.382
4.340,58.333,0.323
4.350,57.667,0.283
4.360,57.333,0.283
4.370,57.333,0.284
4.380,57.333,0.285
4.390,34.667,0.288
4.400,55.667,0.291
4.410,54.333,0.321
4.420,54.667,0.392
4.430,55.000,0.454
4.440,55.000,0.506
4.450,54.667,0.553
4.460,55.000,0.602
4.470,55.000,0.655
4.480,55.333,0.729
4.490,55.333,0.780
4.500,55.333,0.814
4.510,55.333,0.833
